created_at,text,Date,Time,Hour,Weekday,Type,Number,Location
2021-02-11T20:08:57Z,287 appointments available at Memorial Hall on 02/17/2021. Check eligibility and sign up at https://t.co/i6tdUxJDi9,2021-02-11,2021-02-11T20:08:57Z,15,Thursday,Specific Location,287,Memorial Hall
2021-02-11T19:58:38Z,1113 appointments available at Eastfield Mall - Springfield on 2/16/2021. Check eligibility and sign up at https://t.co/1Bnrdsbvd4,2021-02-11,2021-02-11T19:58:38Z,14,Thursday,Specific Location,1113,Eastfield Mall - Springfield
2021-02-11T19:56:04Z,176 appointments available at Greenfield Senior Center on 02/26/2021. Check eligibility and sign up at https://t.co/O0df0eP7SV,2021-02-11,2021-02-11T19:56:04Z,14,Thursday,Specific Location,176,Greenfield Senior Center
2021-02-11T19:54:47Z,690 appointments available at DoubleTree Hotel - Danvers on 2/21/2021. Check eligibility and sign up at https://t.co/3Ts3bkgHJ7,2021-02-11,2021-02-11T19:54:47Z,14,Thursday,Specific Location,690,DoubleTree Hotel - Danvers
2021-02-11T19:49:28Z,2543 appointments available at Gillette Stadium on 02/16/2021. Check eligibility and sign up at https://t.co/i2eIYkyEpF,2021-02-11,2021-02-11T19:49:28Z,14,Thursday,Specific Location,2543,Gillette Stadium
2021-02-11T17:08:04Z,43 appointments available at Greenfield Senior Center on 02/12/2021. Check eligibility and sign up at https://t.co/O0df0eP7SV,2021-02-11,2021-02-11T17:08:04Z,12,Thursday,Specific Location,43,Greenfield Senior Center
2021-02-11T15:27:26Z,2919 appointments available at Gillette Stadium on 02/19/2021. Check eligibility and sign up at https://t.co/i2eIYkyEpF,2021-02-11,2021-02-11T15:27:26Z,10,Thursday,Specific Location,2919,Gillette Stadium
2021-02-11T15:26:14Z,3040 appointments available at Gillette Stadium on 02/21/2021. Check eligibility and sign up at https://t.co/i2eIYkyEpF,2021-02-11,2021-02-11T15:26:14Z,10,Thursday,Specific Location,3040,Gillette Stadium
2021-02-11T15:26:14Z,3040 appointments available at Gillette Stadium on 02/20/2021. Check eligibility and sign up at https://t.co/i2eIYkyEpF,2021-02-11,2021-02-11T15:26:14Z,10,Thursday,Specific Location,3040,Gillette Stadium
2021-02-11T15:26:11Z,2458 appointments available at Gillette Stadium on 02/18/2021. Check eligibility and sign up at https://t.co/i2eIYkyEpF,2021-02-11,2021-02-11T15:26:11Z,10,Thursday,Specific Location,2458,Gillette Stadium
2021-02-11T15:24:53Z,3211 appointments available at Gillette Stadium on 02/17/2021. Check eligibility and sign up at https://t.co/i2eIYkyEpF,2021-02-11,2021-02-11T15:24:53Z,10,Thursday,Specific Location,3211,Gillette Stadium
2021-02-11T15:24:50Z,3172 appointments available at Gillette Stadium on 02/16/2021. Check eligibility and sign up at https://t.co/i2eIYkyEpF,2021-02-11,2021-02-11T15:24:50Z,10,Thursday,Specific Location,3172,Gillette Stadium
2021-02-11T15:24:50Z,2184 appointments available at Gillette Stadium on 02/15/2021. Check eligibility and sign up at https://t.co/i2eIYkyEpF,2021-02-11,2021-02-11T15:24:50Z,10,Thursday,Specific Location,2184,Gillette Stadium
2021-02-11T15:21:15Z,900 appointments available at Fenway Park on 02/15/2021. Check eligibility and sign up at https://t.co/nNN1wSnFpQ,2021-02-11,2021-02-11T15:21:15Z,10,Thursday,Specific Location,900,Fenway Park
2021-02-11T15:20:04Z,888 appointments available at Fenway Park on 02/18/2021. Check eligibility and sign up at https://t.co/nNN1wSnFpQ,2021-02-11,2021-02-11T15:20:04Z,10,Thursday,Specific Location,888,Fenway Park
2021-02-11T15:20:01Z,900 appointments available at Fenway Park on 02/17/2021. Check eligibility and sign up at https://t.co/nNN1wSnFpQ,2021-02-11,2021-02-11T15:20:01Z,10,Thursday,Specific Location,900,Fenway Park
2021-02-11T15:20:01Z,900 appointments available at Fenway Park on 02/16/2021. Check eligibility and sign up at https://t.co/nNN1wSnFpQ,2021-02-11,2021-02-11T15:20:01Z,10,Thursday,Specific Location,900,Fenway Park
2021-02-11T15:18:52Z,800 appointments available at Fenway Park on 02/21/2021. Check eligibility and sign up at https://t.co/nNN1wSnFpQ,2021-02-11,2021-02-11T15:18:52Z,10,Thursday,Specific Location,800,Fenway Park
2021-02-11T15:18:52Z,800 appointments available at Fenway Park on 02/20/2021. Check eligibility and sign up at https://t.co/nNN1wSnFpQ,2021-02-11,2021-02-11T15:18:52Z,10,Thursday,Specific Location,800,Fenway Park
2021-02-11T15:18:49Z,855 appointments available at Fenway Park on 02/19/2021. Check eligibility and sign up at https://t.co/nNN1wSnFpQ,2021-02-11,2021-02-11T15:18:49Z,10,Thursday,Specific Location,855,Fenway Park
2021-02-11T14:31:21Z,167 appointments available at Greenfield Senior Center on 02/13/2021. Check eligibility and sign up at https://t.co/O0df0eP7SV,2021-02-11,2021-02-11T14:31:21Z,9,Thursday,Specific Location,167,Greenfield Senior Center
2021-02-11T14:27:49Z,155 appointments available at Reggie Lewis State Track Athletic Ctr on 02/12/2021. Check eligibility and sign up at https://t.co/SlG9IePZB3,2021-02-11,2021-02-11T14:27:49Z,9,Thursday,Specific Location,155,Reggie Lewis State Track Athletic Ctr
2021-02-10T23:32:58Z,193 appointments available at Saint Vincent Hospital Vaccine Collaborative @ Worcester State University - Wellness Center on 02/12/2021. Check eligibility and sign up at https://t.co/3qzVOnuoCF,2021-02-10,2021-02-10T23:32:58Z,18,Wednesday,Specific Location,193,Saint Vincent Hospital Vaccine Collaborative @ Worcester State University - Wellness Center
2021-02-10T22:47:11Z,15 appointments available at Lowell Senior Center on 02/13/2021. Check eligibility and sign up at https://t.co/3qzVOnuoCF,2021-02-10,2021-02-10T22:47:11Z,17,Wednesday,Specific Location,15,Lowell Senior Center
2021-02-10T22:36:19Z,12 appointments available at Lowell Senior Center on 02/13/2021. Check eligibility and sign up at https://t.co/3qzVOnuoCF,2021-02-10,2021-02-10T22:36:19Z,17,Wednesday,Specific Location,12,Lowell Senior Center
2021-02-10T22:32:46Z,181 appointments available at Greenfield Senior Center on 02/27/2021. Check eligibility and sign up at https://t.co/3qzVOnuoCF,2021-02-10,2021-02-10T22:32:46Z,17,Wednesday,Specific Location,181,Greenfield Senior Center
2021-02-10T21:48:03Z,42 appointments available at Greenfield Senior Center on 02/12/2021. Check eligibility and sign up at https://t.co/3qzVOnuoCF,2021-02-10,2021-02-10T21:48:03Z,16,Wednesday,Specific Location,42,Greenfield Senior Center
2021-02-10T21:46:51Z,41 appointments available at Greenfield Senior Center on 02/12/2021. Check eligibility and sign up at https://t.co/3qzVOnuoCF,2021-02-10,2021-02-10T21:46:51Z,16,Wednesday,Specific Location,41,Greenfield Senior Center
2021-02-10T20:54:42Z,37 appointments available at Greenfield Senior Center on 02/18/2021. Check eligibility and sign up at https://t.co/3qzVOnuoCF,2021-02-10,2021-02-10T20:54:42Z,15,Wednesday,Specific Location,37,Greenfield Senior Center
2021-02-10T19:52:46Z,195 appointments available at Greenfield Senior Center on 03/13/2021. Check eligibility and sign up at https://t.co/3qzVOnuoCF,2021-02-10,2021-02-10T19:52:46Z,14,Wednesday,Specific Location,195,Greenfield Senior Center
